,Job Title,Company,City,Description,Days On Indeed,URL
503,Data Analyst-Summer Internship,"Systems Planning and Analysis, Inc.","Washington, DC",The intern will be responsible for the following modeling tasks: (1) developing an understanding of the existing model and data structures (2) coding and…,5,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9iRlroMm07lYYI3dFCEt8cETOqHrMaOLrsdITsZByvSJGGsIEEccsJw2Nbvm3ZC8zQnYvB-f6CRHH4KO9kU1BJepe2HE9glZhpHYbWbkdz3D96F1Oh0VDCeYitXlJCO-FTmzHaLc2UEb6LY-tQ51b40sucRNbrayNLgbpm01UX4te97cSPxITIqqS-w8XnDObA8eIjq0ChK4a6fFBgET9Lf_zj5_foVhA6Z5y1dG7yPnBZuc0_FM6Xe0-XONezlRB6Zm207Uf_tMkP4qNAwgKbwiQfNkHX1qRvALhMXqTt89AKhgFkCdS4lgc2uTI-enzngoagEOf4AVm6j4KaJV8Uslep87udOwum5JxlRw_E22EETYDyVfOdd6pQTH3xdxUBQLGDrovCeMT59pwYEIkP0eDpdiWCaQ_PAMnAvNp8M7nweggBIR8OWY3ZHZymNwXQwwPTUggQW_4uNfLzCtRIJO50ylurhnUnf7rCDwhdT5Mx4MEKDUgLjbWpK8ePl05RgRQ7qQmXJBhc0q_SbmGAqDFH4bJlm2p2CfIP1ezx85u4-NFfjhL7ETF1wQ0lNLXXG4bGVSn8YufXyHGfokcbGIvmfto8vh9Vx82OFFVAai71vDSQIu0ciG4OVzZwVrn1cX_A0XUlP-F_QR_11DH7RJo_nwuBEWaIs9QziTfDA==&p=1&fvj=0&vjs=3
504,Data Scientist - Intern (Summer 2020),"Systems Planning and Analysis, Inc.","Washington, DC",Experience with preprocessing varied and unstructured data. This individual will work as a full time intern during the summer semester.,5,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9iRlroMm07lYYI3dFCEt8cETOqHrMaOLrsdITsZByvSJGGsIEEccsJw2Nbvm3ZC8zQnYvB-f6CZm4ncnQAgJBalJd4epOKCPVLCsz9XApoyvvhkTqjzs7tQ5k5euUtOYu2cf5rIjvaZo3ykQ8-lHGalw9hgnnRyOPfgaQVIfj8vVJ66mZwGhqzR0gOA0H5fl7EsoJriloh7xyXsIkuWWeR4ZNl7D_Zt8ZYuu_W7Jvuz2o4kxkN4an0PQVfUypiZhAYYFvPacv6aahlPseNEf7yj4MAigVjxnbWWoOJJqGD7s30eCFHEDOCjlQNhbkhT184EN4_AGd9wk2v6_1DpMWJZ03MPnTph8Y2B65NBF33-_fZt1plpHi_USEORVyI2-sJsLboQQ4leAD7_ZqH54dpXiKjPRGfzCFy_gbJAvY6E3s-g-WAbaNmpRbESFVdhrc4OF20uLLehFefvWxl9YPMKBYpKemcbuYMW1ZHR0fyRy7r5d07QfEag4gEcHJL-jxCBIzyNtcwyfnajwz4mEJ4eroZjEsLASQvrqM1UUNpoLgELDmqcC2_qQ906T0VVT88Ax55FsDfVraazu0itb3XPU7PwP94JFxvy3ATJJDuTKfEzHE-uhNFkd9C-9IXschZi5GeqgPVrtNK97HgTbQAB9ZcdQrjkrJbI72R4BXNA==&p=2&fvj=0&vjs=3
505,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC","As a Data Scientist Undergraduate Intern for the CIA, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision…",30+,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AF-trXmOgtyCwioKtrEl8yaVFL4BmZPgj5ekSBDDCZjYyztgCjYk9Nn1Yk0fikpBCXlbJRto7tbhTNs_8jWhl66WDYF0blksRUITtN7f7We8gX1ulbHIFEbi7O9bLDyp74vfjAdx17fhIKaZ1MUdiR8-dohfXf4dPYOfFIM6iv3IE5UMhpR4Zlr--k394aWMEuNv1RyTbjF-auOfCtljHsR_epiQqpgrsttrc4p2tk1leT__p6mVyxn3a0kXpotfOl_VUIjrAreAE7SuuR5XqC7g8siBYAaVFVHh8zzCTmVOEgdMuP3xF_fcGUgzAuUJ0Z4osHFu_rEijsbIr8xzaxRtvQP_ErQaepvad5NplEuwF11FvmqOeZ1d_4GUPsxq5Q_S6991gDW1ckmq8ZJBoXJiVi2jZ1GWDLPAxW1UIOoNWPs27xGTZoyQPRqBMLNoq2BjU4s7VAqq4t7zx4VPTSjd8wznnOFzfV78nKEpHSCyBmZFWs44uOgfH5vYdDhkKgiXwBBC0krokRN36phkGq&p=3&fvj=0&vjs=3
506,Operations Research Analyst Intern,"Systems Planning and Analysis, Inc.","Washington, DC","Apply innovative concepts, quantitative tools and creative data visualization methods. Working towards a Bachelor’s degree in Engineering, Math, Ops Research,…",5,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9iRlroMm07lYYI3dFCEt8cETOqHrMaOLrsdITsZByvSJGGsIEEccsJw2Nbvm3ZC8zQnYvB-f6CTIUpOaOLLV7KqJKC6L8M3yiqBKHgXradA-B3tGb6D91_SSzq6bwF3j_eRFdcXyXGpBRMva-NZAPVpwf0t-aESaOGlXyEbo2dvYS4rSMP7dspQgHvy0rJ9ztyorpcHWVIqCFQXI91DU1K2fqxO5GdAVPv80wGemBbbkvANb3zVr1UMBlQCCcbN31B-h6sMr2oBh0WcABsP543fO_Es8oagSuz7VE30ZNxFCgR-iRoLIX-C6tiE-J2TFY9Ke8mXm2kWDh51NiEZvUPr-Uo-yy-fo5LSXsSZWwvo4zHWAmJCwex2ZTWuJpEEGhEhVUf0NsRwN-rpCGNZDHfpoM4vabVXWNQsvpCVsW6GE4rjQAbCab6gCZxS5H-gC8kc5ls4Hp6wWjOEp3TYQBm_esCeN1QKFsBnrL88TFGDhrm9UN2rLQXkL9FpITVcA3JxQGxTI-qX2Ku-snto9Ex1VjssuhWne7suLcYixX7HmMcQIgQeUE8srGcSwoFsoz4VpJaDyINQYJwYBS7YFEBo6OqJlMECT42sgPh29fqdrSM3_hC2gw3INeIb1_crIIQ25O6iakYBLsZdBBAjIKLboCNJIaUpHxtNL2xYpmSg==&p=4&fvj=0&vjs=3
507,Geospatial Software Development Intern,Maxar Technologies,"Washington, DC",Maxar is looking for a Geospatial Software Development Intern who has a passion for open source GIS data and technology. Please review the job details below.,30+,www.indeed.com/rc/clk?jk=00eb909dfc703a76&fccid=9f02eee31b134261&vjs=3
508,Intern - Korea Chair (Spring 2020),Center For Strategic And International Studies,"Washington, DC",Compiling and coding qualitative data. Compiling and coding qualitative data. Experience or coursework in compiling and coding qualitative data.,30+,www.indeed.com/rc/clk?jk=c5d40604cb99c16b&fccid=a8944406753ba1dc&vjs=3
509,Threat Intelligence Analyst Internships - Summer 2020,"FireEye, Inc.","Washington, DC",Experience with analyzing large data sets to identify notable conclusions or actionable trends for reporting. The internship will include on-the-job training to…,30+,www.indeed.com/rc/clk?jk=b357cf82b7e10824&fccid=5ed3d6e8b04e853e&vjs=3
510,NEA Campaigns & Elections Winter/Spring 2020 Intern (Stipend...,National Education Association (NEA),"Washington, DC",Description of Proposed Intern Assignment(s): Expected skills and opportunities for development that the intern may obtain from this educational experience.,30+,www.indeed.com/rc/clk?jk=9d170731e9a5429b&fccid=b4e0cdf4368966a7&vjs=3
511,Technical Intelligence Analyst Internships - Summer 2020,"FireEye, Inc.","Washington, DC","Experience with analyzing large data sets to identify notable conclusions or actionable trends for reporting. Beneficial experience, skills, and knowledge could…",30+,www.indeed.com/rc/clk?jk=d3dcd42f97147adf&fccid=5ed3d6e8b04e853e&vjs=3
512,Intern- China Power Project (Spring 2020),Center For Strategic And International Studies,"Washington, DC","Conduct writing and data analysis for website content. Must have previous experience with collecting, curating, and analyzing data. This is a paid internship.",30+,www.indeed.com/rc/clk?jk=26b486a4f7c467cb&fccid=a8944406753ba1dc&vjs=3
